№,Секунда,Микросекунда
1,1,335156
2,1,347688
3,1,359755
4,1,372284
5,1,384832
6,1,397367
7,1,409903
8,1,422440
9,1,434750
10,1,446810
11,1,458837
12,1,471373
13,1,483914
14,1,496454
15,1,508814
16,1,519669
17,1,531149
18,1,543662
19,1,553766
20,1,566347
21,1,578914
22,1,589020
23,1,601581
24,1,614138
25,1,624652
26,1,634797
27,1,645799
28,1,656061
29,1,667301
30,1,682245
31,1,693095
32,1,703728
33,1,715512
34,1,728067
35,1,739219
36,1,751481
37,1,764056
38,1,780902
39,1,793450
40,1,805996
41,1,820546
42,1,833110
43,1,845678
44,1,858205
45,1,870723
46,1,883251
47,1,895812
48,1,908410
49,1,921000
50,1,932308
51,1,943639
52,1,956181
53,1,968121
54,1,980680
55,1,993079
56,2,5604
57,2,18099
58,2,29243
59,2,39303
60,2,50641
61,2,63032
62,2,76763
63,2,90440
64,2,102491
65,2,114501
66,2,126445
67,2,140112
68,2,151314
69,2,163181
70,2,175613
71,2,187395
72,2,199978
73,2,212576
74,2,225258
75,2,237371
76,2,253159
77,2,263318
78,2,275889
79,2,286302
80,2,297532
81,2,310077
82,2,321838
83,2,334370
84,2,346902
85,2,359433
86,2,371961
87,2,384491
88,2,397005
89,2,409517
90,2,422028
91,2,434558
92,2,445509
93,2,455609
94,2,468124
95,2,480637
96,2,493146
97,2,503558
98,2,517581
99,2,529769
100,2,551795
101,2,564342
102,2,576423
103,2,587789
104,2,600317
105,2,612897
106,2,625609
107,2,638187
108,2,649642
109,2,660108
110,2,672099
111,2,684691
112,2,696578
113,2,707017
114,2,718189
115,2,729315
116,2,741754
117,2,752649
118,2,763447
119,2,774662
120,2,787224
121,2,797938
122,2,810500
123,2,822837
124,2,835400
125,2,847844
126,2,858115
127,2,869894
128,2,880162
129,2,892751
130,2,904671
131,2,916694
132,2,928249
133,2,939486
134,2,951026
135,2,961409
136,2,974019
137,2,986584
138,2,998040
139,3,10605
140,3,23588
141,3,36181
142,3,48741
143,3,58809
144,3,70488
145,3,81170
146,3,93734
147,3,104559
148,3,116077
149,3,128637
150,3,140318
151,3,151048
152,3,161662
153,3,172011
154,3,182974
155,3,193230
156,3,205232
157,3,217826
158,3,229699
159,3,242290
160,3,253069
161,3,265636
162,3,277634
163,3,288219
164,3,300857
165,3,312587
166,3,323729
167,3,334957
168,3,346341
169,3,357253
170,3,368429
171,3,380959
172,3,393536
173,3,404782
174,3,417360
175,3,429674
176,3,441126
177,3,453453
178,3,466013
179,3,478064
180,3,490451
181,3,502769
182,3,515331
183,3,526959
184,3,538625
185,3,551329
186,3,563016
187,3,574063
188,3,586650
189,3,597074
190,3,609670
191,3,621416
192,3,633999
193,3,646400
194,3,656513
195,3,667016
196,3,679576
197,3,691417
198,3,703695
199,3,720128
200,3,732746
201,3,745299
202,3,757862
203,3,768666
204,3,781841
205,3,795799
206,3,811021
207,3,822994
208,3,833816
209,3,845649
210,3,857517
211,3,867691
212,3,879654
213,3,890691
214,3,903244
215,3,915212
216,3,925351
217,3,936547
218,3,947903
219,3,962047
220,3,972931
221,3,985517
222,3,996779
223,4,9343
224,4,21762
225,4,34345
226,4,46910
227,4,58935
228,4,70776
229,4,81172
230,4,93721
231,4,105097
232,4,115638
233,4,128238
234,4,139203
235,4,150553
236,4,163185
237,4,175247
238,4,185643
239,4,197424
240,4,209850
241,4,221328
242,4,231851
243,4,244681
244,4,254770
245,4,267288
246,4,279804
247,4,292318
248,4,304898
249,4,315490
250,4,328071
251,4,341850
252,4,358784
253,4,371340
254,4,383915
255,4,396325
256,4,408229
257,4,420323
258,4,433030
259,4,445626
260,4,458198
261,4,470751
262,4,483334
263,4,495916
264,4,506168
265,4,518739
266,4,531291
267,4,543856
268,4,555363
269,4,565870
270,4,576623
271,4,587986
272,4,600080
273,4,612315
274,4,622852
275,4,633644
276,4,644046
277,4,655690
278,4,667362
279,4,679946
280,4,691043
281,4,703654
282,4,715411
283,4,728017
284,4,738429
285,4,750410
286,4,761647
287,4,773620
288,4,785969
289,4,796354
290,4,807503
291,4,819959
292,4,830193
293,4,841052
294,4,853182
295,4,865764
296,4,879066
297,4,889517
298,4,899750
299,4,914128
300,4,925212
